# List of adjectives and their exclamation forms, used to transforme exclamative phrase.
جميل=ما أجمل|أجمِل ب
قاص=ما أقْصَى|أقْصِ ب
قاصية=ما أقْصَى|أقْصِ ب
قبيح=ما أقْبَحَ|أقْبِحْ ب
قبيحة=ما أقْبَحَ|أقْبِحْ ب
قديم=ما أقْدَمَ|أقْدِمْ ب
قديمة=ما أقْدَمَ|أقْدِمْ ب
قريب=ما أقْرَبَ|أقْرِبْ ب
قريبة=ما أقْرَبَ|أقْرِبْ ب
قصير=ما أقْصَرَ|أقْصِرْ ب
قصيرة=ما أقْصَرَ|أقْصِرْ ب
قليل=ما أَقَلَّ|أَقْلِلْ ب
قليل=ما أقَلَّ|أقلِلْ ب
قليلة=ما أَقَلَّ|أَقْلِلْ ب
قليلة=ما أقَلَّ|أقلِلْ ب
قوي=ما أَقْوَى|أَقْوِ ب
قوية=ما أَقْوَى|أَقْوِ ب
قويم=ما أَقْوَمَ|أَقْوِمْ ب
قويمة=ما أَقْوَمَ|أَقْوِمْ ب
كامل=ما أَكْمَلَ|أَكْمِلْ ب
كاملة=ما أَكْمَلَ|أَكْمِلْ ب
كبير=ما أكْبَرَ|أكْبِرْ ب
كبيرة=ما أكْبَرَ|أكْبِرْ ب
كثير=ما أَكْثَرَ|أَكْثِرْ ب
كثيرة=ما أَكْثَرَ|أَكْثِرْ ب
كريم=ما أكْرَمَ|أكْرِمْ ب
كريمة=ما أكْرَمَ|أكْرِمْ ب
كفء=ما أَكْفَأَ|أَكْفِئْ ب
كفئة=ما أَكْفَأَ|أَكْفِئْ ب
كيس=ما أَكْيَسَ|أَكْيِسْ ب
كيسة=ما أَكْيَسَ|أَكْيِسْ ب
لدود=ما أَلَدَّ|أَلْدِدْ ب
لدودة=ما أَلَدَّ|أَلْدِدْ ب
لذيذ=ما ألَذَّ|ألْذِذْ ب
لذيذة=ما ألَذَّ|ألْذِذْ ب
لطيف=ما ألطف|ألطِفْ ب
لطيفة=ما ألطف|ألطِفْ ب
لين=ما ألْيَنَ|ألْيِنْ ب
لينة=ما ألْيَنَ|ألْيِنْ ب
مائل=ما أَمْيَلَ|أَمْيِلْ ب
مائلة=ما أَمْيَلَ|أَمْيِلْ ب
ماجد=ما أَمْجَدَ|أَمْجِدْ ب
ماجدة=ما أَمْجَدَ|أَمْجِدْ ب
ماض=ما أَمْضى|أَمْضِ ب
ماضية=ما أَمْضى|أَمْضِ ب
مثيل=ما أَمْثَلَ|أَمْثِلْ ب
مثيلة=ما أَمْثَلَ|أَمْثِلْ ب
مرير=ما أَمَرَّ|أَمْرِرْ ب
مريرة=ما أَمَرَّ|أَمْرِرْ ب
مليح=ما أَمْلَحَ|أَمْلِحْ ب
مليحة=ما أَمْلَحَ|أَمْلِحْ ب
منصف=ما أَنْصَفَ|أَنْصِفْ ب
منصفة=ما أَنْصَفَ|أَنْصِفْ ب
ناجع=ما أَنْجَعَ|أَنْجِعْ ب
ناجعة=ما أَنْجَعَ|أَنْجِعْ ب
